"Course Number"	"Course Name"	"Department"	"Instructor"	"Grades"	"Units"	"Section Number"	"Times"	"Locations"
"Ae 100"	"Research in Aerospace"	"Ae"	"Culick, F"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"McKeon, B"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Chung, S"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Leonard, A"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Pellegrino, S"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Blanquart, G"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Shepherd, J"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Gharib, M"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Ae 100"	"Research in Aerospace"	"Ae"	"Meiron, D"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"Ae 103A"	"Dynamics and Control of Aircraft and Spacecraft"	"Ae"	"Chung, S"	""	"3-0-6"	"01"	"TR 14:30 - 15:55"	"133 GUG"
"Ae 105A"	"Aerospace Engineering"	"Ae"	"Pellegrino, S / Klesh, A / Alvarez-Salazar, O"	"LETTER"	"3-0-6"	"01"	"TR 16:00 - 17:25"	"384 FIR"
"Ae 121A"	"Space Propulsion"	"Ae"	"Polk, J"	""	"3-0-6"	"01"	"TR 13:00 - 14:25"	"232 GUG"
"Ae 150A"	"Aerospace Engineering Seminar"	"Ae"	"Meiron, D"	"PASS-FAIL"	"1-0-0"	"01"	"M 13:00 - 13:55"	"133 GUG"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Bhattacharya, K"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"McKeon, B"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Blake, G"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Dimotakis, P"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Gharib, M"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Hornung, H"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Leonard, A"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Daraio, C"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Ortiz, M"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Pellegrino, S"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Pullin, D"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Ravichandran, G"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Rosakis, A"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Chung, S"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Colonius, T"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Shepherd, J"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Blanquart, G"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Lapusta, N"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Troian, S"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Schneider, T"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Greer, J"	"PASS-FAIL"	"+"	"21"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Andrade, J"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Kochmann, D"	"PASS-FAIL"	"+"	"23"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Gurnis, M"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Minnich, A"	"PASS-FAIL"	"+"	"25"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Johnson, J"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Murray, R"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Austin, J"	"PASS-FAIL"	"+"	"28"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Kulkarni, S"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Burdick, J"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Asimaki, D"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Chung, S"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"Ae 200"	"Advanced Research in Aerospace"	"Ae"	"Heaton, T"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"Ae 208A"	"GALCIT Colloquium"	"Ae"	"Austin, J / Chung, S"	"PASS-FAIL"	"1-0-0"	"01"	"F 15:00 - 15:55"	"133 GUG"
